country_code,n_metros,country_area_km2,uncovered_km2,overlap_km2,escape_km2,invalid_geoms,max_cell_area_km2,union_ok,measured_rotated
VE,60,916571.3332375558,0.01289308870020564,0.002703370530158748,0.009596093762137933,0,139003.97473672745,True,False
VG,1,145.3919794331574,9.490437094160134e-08,0.0,7.116370072231498e-08,0,145.3919794331845,True,False
VI,2,355.9312081705648,1.3202249557153973e-11,0.0,1.4302437020250139e-11,0,214.17060121005505,True,False
VN,85,329986.8053909851,0.03085250404268066,0.002697278249050871,0.10816908133377931,0,17100.3278098744,True,False
VU,4,12338.91288633475,3.300218580706276e-10,0.0,3.1668195614015366e-10,0,4838.4844539209635,True,False
WF,2,139.84987632575542,4.400749852384658e-12,0.0,4.675796718158699e-12,0,76.2725482394585,True,False
WS,2,2790.7963674502776,0.00014224572194585023,1.5177111318641875e-10,8.291951822343168e-11,0,2344.9658009226305,True,False
XK,6,10895.055762406835,0.0009994620530963197,2.211235501675223e-07,0.003143042573978716,0,4532.362432759956,True,False
YE,36,454649.16232704086,0.1741276671372571,0.05798580982357581,0.05179810806518549,0,136843.61774068812,True,False
YT,1,396.4119167575177,1.4073598027926137e-08,0.0,1.691538224510353e-11,0,396.4119167575155,True,False
ZA,73,1221445.9875555763,0.05800308177530094,0.026193117864983698,0.20322946908336154,0,75437.16364557657,True,False
ZM,36,754730.144050514,0.012247643579148686,0.03930046687422787,0.02061296458976839,0,50184.09656596507,True,False
ZW,29,390529.1645006998,0.010635005589287407,0.14918168608356577,0.00021800974728273438,0,70775.52543851637,True,False
